Date,Infectes
21/02/20,21
22/02/20,79
23/02/20,157
24/02/20,229
25/02/20,323
26/02/20,470
27/02/20,655
28/02/20,889
29/02/20,1128
01/03/20,1701
02/03/20,2036
03/03/20,2502
04/03/20,3089
05/03/20,3858
06/03/20,4636
07/03/20,5883
08/03/20,7375
09/03/20,9172
10/03/20,10149
11/03/20,12462
12/03/20,15113
13/03/20,17660
14/03/20,21157
15/03/20,24747
16/03/20,27980
17/03/20,31506
18/03/20,35713
19/03/20,41035
20/03/20,47021
