Date,Infectes
24/02/20,12
25/02/20,14
26/02/20,18
27/02/20,38
28/02/20,57
29/02/20,100
01/03/20,130
02/03/20,191
03/03/20,212
04/03/20,285
05/03/20,423
06/03/20,613
07/03/20,949
08/03/20,1221
09/03/20,1427
10/03/20,1888
11/03/20,2378
12/03/20,2889
13/03/20,3813
14/03/20,4781
15/03/20,5447
16/03/20,6625
17/03/20,7724
18/03/20,9130
19/03/20,11066
