Date,Infectes,Change,Croissance
02/24/20,12,,
02/25/20,14,2,
02/26/20,18,4,2
02/27/20,38,20,5
02/28/20,57,19,0.95
02/29/20,100,43,2.26315789473684
03/01/20,130,30,0.697674418604651
03/02/20,191,61,2.03333333333333
03/03/20,212,21,0.344262295081967
03/04/20,285,73,3.47619047619048
03/05/20,423,138,1.89041095890411
03/06/20,613,190,1.3768115942029
03/07/20,949,336,1.76842105263158
03/08/20,1221,272,0.80952380952381
03/09/20,1427,206,0.757352941176471
03/10/20,1888,461,2.2378640776699
03/11/20,2378,490,1.06290672451193
03/12/20,2889,511,1.04285714285714
03/13/20,3813,924,1.80821917808219
03/14/20,4781,968,1.04761904761905
